Cluster,Mean Temperature (F),Mean Humidity (%),Mean Severity,Mean Visibility (mi),Mean Precipitation (in)
0,58.47592631207427,85.3339223225004,2.197714163276014,8.220144243019998,0.010057227004590346
1,72.1109896894527,36.584762860404574,2.137433483283011,9.85175021357442,0.0004888682102760007
2,48.36402584864613,60.39862758010548,2.1747217187686836,9.240946844239119,0.002934580273052257
3,28.668147924093507,81.72738101080785,2.158028505102525,6.879075439959965,0.0045147344195105
4,68.74843976844767,64.34059788296778,2.1296067293599394,9.406061562177223,0.004412565913972544
