Feature,Importance
Sever,0.3336792903242363
lag_1,0.24143314798729354
lag_7,0.11948314416025199
Visibility,0.09547739190095364
Precip,0.08549489160660718
month,0.0406887169833263
Humidity,0.03931176092009984
Temp,0.032573704654872616
is_weekend,0.008135731008527517
day_of_week,0.002511339614389934
quarter,0.0012108808394410333
